Monat,name,group,DistKat,HM,Watt,Meter,Minuten,avg,Datum
Februar,Möhnesee,Ride,150-200,1309,83,174600,491,21.33604888, 27.2.2016
Januar,Nachmittagsradfahrt,Training,50-100,445,140,54300,149,21.86577181, 25.1.2016
Januar,Nachmittagsradfahrt,Training,0-50,58,132,47800,124,23.12903226, 14.1.2016
Januar,Nachmittagsradfahrt,Training,50-100,314,133,53900,142,22.77464789, 12.1.2016
Januar,Mittagsradfahrt,Training,0-50,356,102,41400,144,17.25, 10.1.2016
Januar,Mittagsradfahrt,Training,50-100,1111,163,88700,243,21.90123457, 9.1.2016
Januar,Nachmittagsradfahrt,Training,50-100,721,134,65200,192,20.375, 8.1.2016
Januar,Nachmittagsradfahrt,Training,50-100,37,136,61100,155,23.6516129, 5.1.2016
Januar,Nachmittagsradfahrt,Training,50-100,582,151,56100,150,22.44, 3.1.2016
Januar,Nachmittagsradfahrt,Training,50-100,190,135,50000,135,22.22222222, 1.1.2016
